idx,smiles,CYP3A4,group,img_path
13.0,Cn1c(N)nc2c(nc(OCc3ccccc3)n2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c1=O,0.0,train,../data/images/CYP3A4/13.png
14.0,COc1ccc2c(c1)CCc1c(C(=O)N3CCCCCC3)noc1-2,1.0,train,../data/images/CYP3A4/14.png
15.0,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,0.0,train,../data/images/CYP3A4/15.png
16.0,O=c1cc(C(F)(F)F)[nH]c(=O)n1C1CCCCC1,0.0,train,../data/images/CYP3A4/16.png
17.0,COc1ccc(Oc2ncc3nc(CCc4ccccc4)c(=O)n(CCC#N)c3n2)cc1,1.0,train,../data/images/CYP3A4/17.png
18.0,CCCCOc1ccc(C(=O)N/C(=C\c2ccc(OC)cc2)C(=O)OCc2ccco2)cc1,1.0,train,../data/images/CYP3A4/18.png
19.0,C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\OC[C@@H](O)COCc1ccco1,1.0,train,../data/images/CYP3A4/19.png
20.0,Cc1cccc(NC(=S)N/N=C/c2ccc([N+](=O)[O-])s2)c1,1.0,train,../data/images/CYP3A4/20.png
21.0,COc1ccc(NC(=O)C(c2ccc(OC)cc2)N(C)C(=O)CNC(C)=O)cc1,0.0,train,../data/images/CYP3A4/21.png
22.0,COC(=O)N1CCC2(CCN(C(=O)Nc3cccc(F)c3)CC2)CC1,0.0,train,../data/images/CYP3A4/22.png
23.0,CC(C)CN1CC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,0.0,train,../data/images/CYP3A4/23.png
24.0,N[C@@](CC(=O)O)(Cc1ccccc1)C(=O)O,0.0,train,../data/images/CYP3A4/24.png
25.0,Cc1noc(C)c1-c1nccc(-n2ccnc2)n1,1.0,train,../data/images/CYP3A4/25.png
26.0,COc1cc(CNn2nnnc2N)ccc1OCc1c(Cl)cccc1Cl,1.0,train,../data/images/CYP3A4/26.png
27.0,CCOC(=O)Cc1csc(NC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)n1,0.0,train,../data/images/CYP3A4/27.png
28.0,COCC(C)n1c(C)cc(C(=O)CSc2nnc(Nc3ccccc3F)s2)c1C,1.0,train,../data/images/CYP3A4/28.png
29.0,COc1ccc(C2C(=O)c3ccccc3/C2=N/c2ccc(Br)cc2)cc1,0.0,train,../data/images/CYP3A4/29.png
30.0,Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@H]1CC2,0.0,train,../data/images/CYP3A4/30.png
31.0,Cc1cc2c(nc1C)CCCCN2C[C@H](C)O/N=C\[C@@H](C)[C@H](OCc1ccccc1)C(C)C,1.0,train,../data/images/CYP3A4/31.png
32.0,CC(=O)NCCc1ccccc1-c1onc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c1C(C)O,0.0,train,../data/images/CYP3A4/32.png
33.0,C[C@@H](c1ccc(Br)cc1)N1CC[C@](CC(C)(C)O)(c2ccc(F)cc2)OC1=O,1.0,train,../data/images/CYP3A4/33.png
34.0,CC(C)c1cc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,0.0,train,../data/images/CYP3A4/34.png
35.0,CCC1(c2ccccc2)C(=O)NCNC1=O,0.0,train,../data/images/CYP3A4/35.png
36.0,O=C(O)C[C@@H]1CCc2cc(OCCCOc3ccc(-c4nc5c(s4)CCCC5)cc3)ccc21,0.0,train,../data/images/CYP3A4/36.png
37.0,O=C(c1cccc(F)c1)N1CCC2(CCCN(c3ccncc3)C2)CC1,1.0,train,../data/images/CYP3A4/37.png
38.0,O=S(=O)(Nc1cc(Cl)c(Oc2cnc3ccccc3c2)c(Cl)c1)c1ccc(Cl)cc1Cl,0.0,train,../data/images/CYP3A4/38.png
39.0,O=C(Nc1ccc(C2CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)CC2)cc1)c1nc(-c2ccccc2)oc1C(F)(F)F,0.0,train,../data/images/CYP3A4/39.png
40.0,c1ccc2c(CC3=NCCN3)cccc2c1,0.0,train,../data/images/CYP3A4/40.png
41.0,O=C(Oc1ccccc1)N1CCC2(CCCN(c3ccncc3)C2)CC1,1.0,train,../data/images/CYP3A4/41.png
42.0,Cn1c(=O)cc(OCC(=O)NCc2cccnc2)c2ccccc21,1.0,train,../data/images/CYP3A4/42.png
43.0,CC(C)(C)c1c2c(c(C(C)(C)C)c3c1OCN(Cc1ccccc1)C3)OCN(Cc1ccccc1)C2,0.0,train,../data/images/CYP3A4/43.png
44.0,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3cnc(C)c3)cc2)cc1,0.0,train,../data/images/CYP3A4/44.png
45.0,CSc1ncnc2c1ncn2[C@@H]1O[C@@H](CO)[C@H](O)O[C@@H]1O,0.0,train,../data/images/CYP3A4/45.png
46.0,NNC(=O)c1ccc(OCc2nc3ccccc3[nH]2)cc1,1.0,train,../data/images/CYP3A4/46.png
47.0,[N-]=[N+]=Nc1ccccc1,0.0,train,../data/images/CYP3A4/47.png
48.0,O=C(O)c1ccc(Sc2nnnn2-c2ccccc2)c([N+](=O)[O-])c1,0.0,train,../data/images/CYP3A4/48.png
49.0,CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2ncccn2)C3)cc1,1.0,train,../data/images/CYP3A4/49.png
50.0,O=c1ccn(-c2cccc(C(F)(F)F)c2)nc1-c1ccn(-c2ccccc2F)n1,1.0,train,../data/images/CYP3A4/50.png
51.0,CCn1c(-c2nonc2NC(=O)c2ccccc2)nc2ccccc21,1.0,train,../data/images/CYP3A4/51.png
52.0,Cc1cccc(-n2ncc3c(NCCCN4CCCC4=O)ncnc32)c1,0.0,train,../data/images/CYP3A4/52.png
53.0,COc1ccccc1CNc1ncnc2ccc(-c3cccc(NS(C)(=O)=O)c3)cc12,1.0,train,../data/images/CYP3A4/53.png
54.0,COc1ccc(Cc2nnc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)s2)cc1OC,0.0,train,../data/images/CYP3A4/54.png
55.0,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccn3nccc3n2)C2CCCC2)nn1,1.0,train,../data/images/CYP3A4/55.png
56.0,CCCOc1cccc(-c2cc(-c3nnc(S)n3CC)c3ccccc3n2)c1,1.0,train,../data/images/CYP3A4/56.png
57.0,CC(=O)NN1C(=O)c2ccc(Oc3cccc([N+](=O)[O-])c3)cc2C1=O,0.0,train,../data/images/CYP3A4/57.png
58.0,CC(NC(=O)C1(N)CCCC1)C(=O)O,0.0,train,../data/images/CYP3A4/58.png
59.0,Cc1cccc(N2CCN(C(=O)CSCc3c(C)noc3C)CC2)c1C,1.0,train,../data/images/CYP3A4/59.png
60.0,O=C(C1CCN(Cc2ccncc2)CC1)N1CCC(n2c(=O)n(Cc3cccc(Cl)c3)c3ccccc32)CC1,1.0,train,../data/images/CYP3A4/60.png
61.0,O=c1c(CCc2ccccc2)nc2cnc(N3CCOCC3)nc2n1Cc1cccs1,0.0,train,../data/images/CYP3A4/61.png
62.0,CN1CC(Cl)=C(c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)C1,0.0,train,../data/images/CYP3A4/62.png
63.0,COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C,0.0,train,../data/images/CYP3A4/63.png
64.0,Fc1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,1.0,train,../data/images/CYP3A4/64.png
65.0,Cn1c(=O)c2c(c(C#N)c(N3CCC[C@H](N)C3)n2Cc2ccccc2)n(C)c1=O,1.0,train,../data/images/CYP3A4/65.png
66.0,CC(C)(C)c1ccc(O)c(CN(Cc2cc(C(C)(C)C)ccc2O)C2CCCCC2)c1,0.0,train,../data/images/CYP3A4/66.png
67.0,N#CCN(CC(=O)N1CCCC(c2ccccc2)C1CN1CCOCC1)c1ccc(Cl)c(Cl)c1,1.0,train,../data/images/CYP3A4/67.png
68.0,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@@H](O)CNC(C)(C)C)c1,0.0,train,../data/images/CYP3A4/68.png
69.0,Cc1nc(O)c(C#N)c2c1CSC(C)(C)C2,0.0,train,../data/images/CYP3A4/69.png
70.0,COc1ccc(NC(=O)c2ccc(C)cc2Cl)c([N+](=O)[O-])c1,1.0,train,../data/images/CYP3A4/70.png
71.0,COc1cccc(-c2ccc(C(CN3CCOCC3)N(C)C(=O)CN3C(=O)COc4cc(Cl)c(Cl)cc43)cc2)c1,1.0,train,../data/images/CYP3A4/71.png
72.0,COc1ccccc1OP(C)(=O)Nc1c(C)cccc1C,1.0,train,../data/images/CYP3A4/72.png
73.0,CC1(C)N=C(N)N=C(N)N1c1cccc(OCc2cccc([N+](=O)[O-])c2)c1,0.0,train,../data/images/CYP3A4/73.png
74.0,C[C@@H]1CN(C(=O)OC2([C@H]3COC[C@@H](CC4CC4)N3S(=O)(=O)c3ccc(Cl)cc3)CC2)C[C@H](C)N1CCO,1.0,train,../data/images/CYP3A4/74.png
75.0,COc1cccc(C2CC(=O)C=C(NCCCN(C)C)C2)c1,0.0,train,../data/images/CYP3A4/75.png
76.0,CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1,1.0,train,../data/images/CYP3A4/76.png
77.0,CN(C)CCN(c1ccccn1)c1ccccn1,0.0,train,../data/images/CYP3A4/77.png
78.0,CS(=O)(=O)Nc1cccc(CC(=O)Nc2cc(-c3ccnc(F)c3)cs2)c1,0.0,train,../data/images/CYP3A4/78.png
79.0,CCC1CC(CSc2nc[nH]n2)OC1=O,0.0,train,../data/images/CYP3A4/79.png
80.0,CCOc1ccc(C(=O)C2=C(O)C(=O)N(CC3CCCO3)C2c2ccc(C)o2)cc1,0.0,train,../data/images/CYP3A4/80.png
81.0,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,0.0,train,../data/images/CYP3A4/81.png
82.0,COc1ccc(Oc2ncc3nc(-c4cccc(C#N)c4)c(=O)n(Cc4cccc(OC)c4)c3n2)cc1,1.0,train,../data/images/CYP3A4/82.png
83.0,Cn1cc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)nn1,0.0,train,../data/images/CYP3A4/83.png
84.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,0.0,train,../data/images/CYP3A4/84.png
85.0,CCO/C(O)=C(\C(=N)NCCCO)C(=O)c1ccccc1,0.0,train,../data/images/CYP3A4/85.png
86.0,CC(=O)Nc1cc(C(=O)N2CCCC2)ccc1S(=O)(=O)c1ccc(C)cc1,1.0,train,../data/images/CYP3A4/86.png
87.0,CN(C)C(=O)c1ccc(-c2cncnc2NCc2cccnc2)cc1,1.0,train,../data/images/CYP3A4/87.png
88.0,CCNC(=O)c1c2n(c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc13)CCCC2,0.0,train,../data/images/CYP3A4/88.png
89.0,CO[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1noc(-c2ccccc2CCNC(C)=O)c1Br,0.0,train,../data/images/CYP3A4/89.png
90.0,Cc1noc(C)c1C(=O)N1CCC[C@@]2(CCN(c3ncccn3)C2)C1,0.0,train,../data/images/CYP3A4/90.png
91.0,CC(C)[C@H](N)c1nnc(SCc2ccc(Cl)cc2)o1,1.0,train,../data/images/CYP3A4/91.png
92.0,Cc1ccccc1-c1nc(NC2CC2)c2ccccc2n1,1.0,train,../data/images/CYP3A4/92.png
93.0,Cc1cc(O)c2cc(Cl)ccc2n1,0.0,train,../data/images/CYP3A4/93.png
94.0,CN(CCC(=O)O)S(=O)(=O)c1ccccc1,0.0,train,../data/images/CYP3A4/94.png
95.0,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccc(Cl)c(C(F)(F)F)c1,1.0,train,../data/images/CYP3A4/95.png
96.0,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.0,train,../data/images/CYP3A4/96.png
97.0,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cc(OC)cc(OC)c3)CC2)cc1,1.0,train,../data/images/CYP3A4/97.png
98.0,CC(C)CN1CCCC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,1.0,train,../data/images/CYP3A4/98.png
99.0,CCCC/C=C/C(NC(=O)C(C)(C)C)c1ccccc1,1.0,train,../data/images/CYP3A4/99.png
100.0,COC(=O)c1ccccc1NC(=O)COc1ccc(C23CC4CC(CC(C(=O)N5CCc6cc(OC)c(OC)cc6C5)(C4)C2)C3)cc1,1.0,train,../data/images/CYP3A4/100.png
101.0,Cc1ccc(Cn2nc(C)c(NC(=O)c3cc(-c4ccco4)on3)c2C)cc1,1.0,train,../data/images/CYP3A4/101.png
102.0,C=C1[C@@H]2C[C@@]3([C@H]1O)[C@H]1C[C@@H]4[C@@]5(C)CC[C@H](O)[C@]4([C@H]1N(CC)C5)[C@H]3C[C@H]2O,0.0,train,../data/images/CYP3A4/102.png
103.0,CN1CCN(c2ncc3nc(-c4ccccc4)c(=O)n(C4CC4)c3n2)CC1,0.0,train,../data/images/CYP3A4/103.png
104.0,NC(=S)SCCC(=O)O,0.0,train,../data/images/CYP3A4/104.png
105.0,CC(C)C1=C[C@@]23CC[C@@H]4[C@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2C[C@@H]1[C@@H](C(=O)O)[C@@H]3C(=O)O,0.0,train,../data/images/CYP3A4/105.png
106.0,Cc1cc2c(NC(=O)N[C@@H]3CC(CF)(CF)Oc4c(F)cccc43)cccc2cn1,0.0,train,../data/images/CYP3A4/106.png
107.0,N=C(N)Nc1ccc(-c2ccc(NC(=N)N)cc2)cc1,0.0,train,../data/images/CYP3A4/107.png
108.0,CCCCn1c(SCc2c(C)noc2C)nc2cc(S(N)(=O)=O)ccc21,1.0,train,../data/images/CYP3A4/108.png
109.0,CCN1CCN(CCCNC(=O)c2cc3cc4ccc(OC)cc4nc3o2)CC1,0.0,train,../data/images/CYP3A4/109.png
110.0,CCN(CC)C(=O)CSc1nnc(-c2ccncc2)n1N,0.0,train,../data/images/CYP3A4/110.png
111.0,CC(C)NC(=O)N1CCC2(CC1)CCN(C(=O)c1cccn1C)CC2,0.0,train,../data/images/CYP3A4/111.png
112.0,CCN(CC)c1ccc(/C=C/c2nc3ccccc3s2)cc1,1.0,train,../data/images/CYP3A4/112.png
113.0,CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)CC3)sc2c1,1.0,train,../data/images/CYP3A4/113.png
114.0,CN(C)Cc1c[nH]c2ncnc(O)c12,0.0,train,../data/images/CYP3A4/114.png
115.0,Cc1cccc(NC(=S)N(CCc2nc3cc(C)c(C)cc3[nH]2)Cc2cccnc2)c1,1.0,train,../data/images/CYP3A4/115.png
116.0,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,0.0,train,../data/images/CYP3A4/116.png
117.0,CCCC[C@@H]1C[C@H]1C(NC(=O)c1ccco1)c1ccccc1C(F)(F)F,1.0,train,../data/images/CYP3A4/117.png
118.0,CC(=O)N1CCC2(CC1)CN(C(=O)Nc1cccc(C#N)c1)C2,0.0,train,../data/images/CYP3A4/118.png
119.0,CC(C)(CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O,0.0,train,../data/images/CYP3A4/119.png
120.0,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)N2C=Cc3ccccc3[C@H]2C#N)cc1,1.0,train,../data/images/CYP3A4/120.png
121.0,C[C@@H](Cc1ccc2c(c1)OC(C(=O)[O-])(C(=O)[O-])O2)NC[C@H](O)c1cccc(Cl)c1,0.0,train,../data/images/CYP3A4/121.png
122.0,O=C1N=C(N2CCOCC2)S/C1=C\C=C/c1ccccc1,0.0,train,../data/images/CYP3A4/122.png
123.0,C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)CN1CCCc2nc(C)c(C)cc21,1.0,train,../data/images/CYP3A4/123.png
124.0,Cc1ccc(Sc2ncccc2COC(=O)Nc2ccccc2C)cc1,1.0,train,../data/images/CYP3A4/124.png
125.0,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C(=O)Nc2ccccc2)C1,0.0,train,../data/images/CYP3A4/125.png
126.0,CCCCSc1ccc2nc(-c3ccc(C#N)cc3)cn2c1,0.0,train,../data/images/CYP3A4/126.png
127.0,Cc1cnc2[nH]cc(Cc3ccc(NCc4cnccc4C(F)(F)F)nc3F)c2c1,1.0,train,../data/images/CYP3A4/127.png
128.0,Cc1c(O)nc(/C=C\C(=O)O)nc1C(=O)O,0.0,train,../data/images/CYP3A4/128.png
129.0,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,1.0,train,../data/images/CYP3A4/129.png
130.0,CSc1nc(C)cc(Nc2ccc(O)c(CN3CCCCC3)c2)n1,0.0,train,../data/images/CYP3A4/130.png
131.0,COc1ccc(-c2nc3cnc(N4CCNCC4)nc3n(Cc3cccs3)c2=O)cc1,1.0,train,../data/images/CYP3A4/131.png
132.0,COc1ccc(C(=O)c2c(C)n(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3ncccc23)cc1,0.0,train,../data/images/CYP3A4/132.png
133.0,O=S(=O)(N/N=C\C=C\c1ccccc1)c1ccc(Br)cc1,1.0,train,../data/images/CYP3A4/133.png
134.0,Cc1ccnc(N)c1,0.0,train,../data/images/CYP3A4/134.png
135.0,Clc1ccc(Cn2c(-c3cccnc3Cl)nc3ccccc32)c(Cl)c1,0.0,train,../data/images/CYP3A4/135.png
136.0,Cc1ccc2c(c1)SC1=NC(c3ccccc3)(C(F)(F)F)NC(=O)N12,0.0,train,../data/images/CYP3A4/136.png
137.0,Cc1cnc(CNc2nc(-c3cccc(NS(C)(=O)=O)c3)nc3ccccc23)cn1,1.0,train,../data/images/CYP3A4/137.png
138.0,Cc1cccc(C)c1CNc1nc(N2CCOCC2=O)cc2c(C)c(C)[nH]c12,0.0,train,../data/images/CYP3A4/138.png
139.0,O=[N+]([O-])C(/C=C(\Cl)[N+](=O)[O-])=C1N(Cc2ccc(Cl)nc2)CCN1Cc1ccc(Cl)nc1,1.0,train,../data/images/CYP3A4/139.png
140.0,CCCCn1c(N)c(C(=O)NCc2cccs2)c2nc3ccccc3nc21,0.0,train,../data/images/CYP3A4/140.png
141.0,CC(=O)O[C@H]1CC[C@]2(C)C(=CC[C@H]3[C@H]4C[C@H]5O[C@]6(CC[C@H](C)CN6)[C@H](C)[C@@H]5[C@]4(C)CC[C@@H]32)C1,0.0,train,../data/images/CYP3A4/141.png
142.0,CN(C)S(=O)(=O)Oc1ccsc1C(=O)Nc1cccc(Cl)c1,1.0,train,../data/images/CYP3A4/142.png
143.0,CN([C@@H]1CCc2c(c3cccnc3n2CC(=O)O)C1)S(=O)(=O)c1ccc(F)cc1,0.0,train,../data/images/CYP3A4/143.png
144.0,CSc1nc2c(c(C(F)(F)F)n1)CC(C)CC2,0.0,train,../data/images/CYP3A4/144.png
145.0,Cc1cc(=O)c2ccccc2[nH]1,0.0,train,../data/images/CYP3A4/145.png
146.0,O=C(Cc1ccccc1)N/N=C/c1ccccc1OCc1ccc(Cl)cc1,1.0,train,../data/images/CYP3A4/146.png
147.0,Nc1ncccc1-c1nc2cccnc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,0.0,train,../data/images/CYP3A4/147.png
148.0,COc1ccc(CNc2ncncc2-c2ccccc2OC)c(OC)c1,1.0,train,../data/images/CYP3A4/148.png
149.0,O=C(c1ccc(Cl)c(S(=O)(=O)NCc2ccccc2)c1)N1CCN(c2ccccn2)CC1,0.0,train,../data/images/CYP3A4/149.png
150.0,C[C@@]1(O)CCOC(=O)C1,0.0,train,../data/images/CYP3A4/150.png
151.0,O=[N+]([O-])c1ccc(Cl)c(-c2ccc(/C=N/c3c(-c4ccco4)nc4ccccn34)o2)c1,0.0,train,../data/images/CYP3A4/151.png
152.0,CCOC(=O)c1[nH]c(C)c(C(=O)N2CCc3ccccc32)c1C,1.0,train,../data/images/CYP3A4/152.png
153.0,Cc1[nH]c2ccccc2c1/C=C(\C#N)C(=O)NC(C)c1ccccc1,1.0,train,../data/images/CYP3A4/153.png
154.0,COc1ccc(NC2=NC(=S)N(c3ccc(C)cc3)C23CCCCC3)cc1,0.0,train,../data/images/CYP3A4/154.png
155.0,CN1Cc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc(c3c2)N2CCC1C2=O,1.0,train,../data/images/CYP3A4/155.png
156.0,CN(C)Cc1cc(C(=O)O)cc(CN(C)C)c1O,0.0,train,../data/images/CYP3A4/156.png
157.0,O=C(O)CC1(c2ccccc2)CCCN(C(=O)Nc2ccc(Cl)cc2)C1,0.0,train,../data/images/CYP3A4/157.png
158.0,CCOC(=O)c1ccc(CNC(=O)C2CCCCC2C(=O)OCC(F)(F)F)o1,0.0,train,../data/images/CYP3A4/158.png
159.0,NC(=O)c1cc2cc(Br)c(C(F)(F)F)nc2nc1N,0.0,train,../data/images/CYP3A4/159.png
160.0,COc1c(/C=N/Nc2nc(N3CCCCC3)nc(N3CCCCC3)n2)cccc1[N+](=O)[O-],1.0,train,../data/images/CYP3A4/160.png
161.0,Cc1c2c(nc3ccccc13)-c1cccc(=O)n1C2,1.0,train,../data/images/CYP3A4/161.png
162.0,Cc1cc(N2CCC(N3C[C@@H]4C[C@@H]3CO4)CC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,1.0,train,../data/images/CYP3A4/162.png
163.0,CCCCNC(=O)NS(=O)(=O)c1cnccc1Sc1ccc(Cl)cc1,0.0,train,../data/images/CYP3A4/163.png
164.0,O=C(Nc1ccccc1-c1nc2ccccc2[nH]1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.0,train,../data/images/CYP3A4/164.png
165.0,CCOc1ccc(C(CC(=O)O)NC(=O)COc2ccccc2)cc1,0.0,train,../data/images/CYP3A4/165.png
166.0,CCN(CC)CC#CCC(C)(c1ccccc1)c1ccccc1,0.0,train,../data/images/CYP3A4/166.png
167.0,O=C(O)c1ccc(CSc2nc3ccccc3o2)cc1,0.0,train,../data/images/CYP3A4/167.png
168.0,COc1cccc(CC(=O)Nc2nc(-c3ccncc3)cs2)c1,1.0,train,../data/images/CYP3A4/168.png
169.0,CC1(C)CC(=O)C2=C(C1)NC(=O)C21C(C(=O)OC(C)(C)C)=C(N)Oc2ccc(Br)cc21,1.0,train,../data/images/CYP3A4/169.png
170.0,COc1ccc(CNc2nc(-c3c(C)noc3C)nc3ccccc23)c(OC)c1,1.0,train,../data/images/CYP3A4/170.png
171.0,CCN1CCC(Nc2ccc3c(c2)C(=C(c2nc(C)c[nH]2)c2ccccc2F)C(=O)N3)CC1,0.0,train,../data/images/CYP3A4/171.png
172.0,[N-]=[N+]=NCC(O)CN=[N+]=[N-],0.0,train,../data/images/CYP3A4/172.png
173.0,Clc1ccc(-c2ccnc(Oc3cc(Cl)ccc3Cl)n2)cc1,0.0,train,../data/images/CYP3A4/173.png
174.0,Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1C,0.0,train,../data/images/CYP3A4/174.png
175.0,C[C@]1(C(=O)O)[C@@H]2CC[C@@H](O2)[C@@]1(C)C(=O)O,0.0,train,../data/images/CYP3A4/175.png
176.0,Cn1cccc1C(=O)N1CCC[C@@]2(CCN(C(c3ccccc3)c3ccccc3)C2)C1,1.0,train,../data/images/CYP3A4/176.png
177.0,Cc1c2c(nn1-c1nnc(-c3ccc(OC(C)C)c(Cl)c3)s1)CCN(CCC(=O)O)C2,0.0,train,../data/images/CYP3A4/177.png
178.0,CC(C)c1ccc2nc3sc(C(=O)N4CCc5ccccc5C4)c(N)c3cc2c1,0.0,train,../data/images/CYP3A4/178.png
179.0,CC(C)[C@@H]1COC[C@H](C2(OC(=O)N3CC[C@H](O)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,1.0,train,../data/images/CYP3A4/179.png
180.0,CCCC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1OC(=O)CCC,0.0,train,../data/images/CYP3A4/180.png
181.0,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,0.0,train,../data/images/CYP3A4/181.png
182.0,Cc1ccc2c(OCCN3CCN(Cc4ccc5c(c4F)N(C)C(=O)CO5)CC3)cccc2n1,0.0,train,../data/images/CYP3A4/182.png
183.0,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](N2CCSCC2)C1,1.0,train,../data/images/CYP3A4/183.png
184.0,CCOc1ccccc1OCCOc1ccc(F)cc1,0.0,train,../data/images/CYP3A4/184.png
185.0,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1cccc(OCC(=O)O)c1,0.0,train,../data/images/CYP3A4/185.png
186.0,NCS(=O)(=O)O,0.0,train,../data/images/CYP3A4/186.png
187.0,Oc1ccc(-c2ccc(C(O)c3ccncc3)cc2)cc1,1.0,train,../data/images/CYP3A4/187.png
188.0,CCOc1c(Cl)cc(Cl)cc1CNCCNCCO,0.0,train,../data/images/CYP3A4/188.png
