idx,smiles,P-gp,group,img_path
49.0,Cc1ccc2oc(=O)c3c(O)c4cccc(OC5OC(C)C6O[C@@H](c7ccccc7)OC6C5OC5OC(C)C(O)C(O)C5O)c4c4oc(=O)c1c2c34,1.0,train,../data/images/P-gp/49.png
50.0,COc1cccc2c1[C@@H]1CO[C@@H]3[C@@H]4C[C@@H](C(=O)O)[C@H]([C@H](C2)N31)N4C,0.0,train,../data/images/P-gp/50.png
51.0,CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)C2CCCN2C(=O)[C@H](C)O)[C@@H](C)OC(=O)[C@@H]2Cc3ccccc3CN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,1.0,train,../data/images/P-gp/51.png
52.0,NC(=O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0.0,train,../data/images/P-gp/52.png
53.0,COC(=O)c1c(F)cccc1-c1ccc(CNC(=O)C2(NC(=O)C(F)F)CC2)c(F)c1,1.0,train,../data/images/P-gp/53.png
54.0,COc1cc(C(=O)NC2(C(=O)N[C@H](C)c3ccc(-n4nc(Cl)c5ccccc54)cc3F)CC2)on1,0.0,train,../data/images/P-gp/54.png
55.0,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0,train,../data/images/P-gp/55.png
56.0,C[n+]1c2ccccc2n2c3ccccc3c(NCCCn3ccnc3)c(C#N)c21,1.0,train,../data/images/P-gp/56.png
57.0,Nc1c2c(nc3cc(Br)ccc13)N(Cc1ccccc1)CC2,0.0,train,../data/images/P-gp/57.png
58.0,CN(CCc1ccccn1)c1nc(-c2ccncc2)nc2c1CN(S(C)(=O)=O)CC2,1.0,train,../data/images/P-gp/58.png
59.0,O=C1/C(=C/c2ccc(Cl)cc2)CN(C(=O)c2ccc(OCCN3CCCCC3)cc2)C/C1=C\c1ccc(Cl)cc1,1.0,train,../data/images/P-gp/59.png
60.0,COc1ccc(/C=C/C(=O)O[C@H]2C(=O)c3c(OC)cc(OC)cc3O[C@@H]2c2cc(OC)c(OC)c(OC)c2)cc1,1.0,train,../data/images/P-gp/60.png
61.0,COC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3C[C@@H]4[C@H]5C[C@@]3(CC[C@@H]21)C[C@@]45C,0.0,train,../data/images/P-gp/61.png
62.0,CC(=O)O[C@H]1CC[C@](C)(OC(C)=O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OC(C)=O,0.0,train,../data/images/P-gp/62.png
63.0,COc1ccc2c(NCCCCCCNc3c4ccccc4nc4cc(OC)ccc34)c3ccccc3nc2c1,1.0,train,../data/images/P-gp/63.png
64.0,COc1ccc2[nH]c3c(C)c4c(c(C)c3c2c1)CN(C)C=C4,1.0,train,../data/images/P-gp/64.png
65.0,CC(C)[C@@H](O)C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.0,train,../data/images/P-gp/65.png
66.0,CCOC(=O)Oc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.0,train,../data/images/P-gp/66.png
67.0,CCC[Sn](Cl)(Cl)CCC,0.0,train,../data/images/P-gp/67.png
68.0,NS(=O)(=O)c1ccc(-n2nc3c(c2-c2ccc(Cl)cc2)Cc2ccccc2-3)cc1,0.0,train,../data/images/P-gp/68.png
69.0,COc1ccc(C[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@@H]3Cc4ccc(cc4)Oc4cc(ccc4O)C[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N2C)N(C)C3=O)cc1,1.0,train,../data/images/P-gp/69.png
70.0,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,0.0,train,../data/images/P-gp/70.png
71.0,CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccccc4c3c(C)c2c1,1.0,train,../data/images/P-gp/71.png
72.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,1.0,train,../data/images/P-gp/72.png
73.0,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1.0,train,../data/images/P-gp/73.png
74.0,Nc1c2c(nc3ccccc13)N(Cc1ccccc1)CC2,1.0,train,../data/images/P-gp/74.png
75.0,CC[C@]1(c2ccc3c(c2)OCO3)C=[N+]([O-])O[C@H](OC2CCCC2(c2ccccc2)c2ccccc2)[C@@H]1OC(C)=O,0.0,train,../data/images/P-gp/75.png
76.0,COc1ccc2c(c1)CCCc1cc(OC)c(OC)c(OC)c1-2,0.0,train,../data/images/P-gp/76.png
77.0,Nc1ncnc2c1ncn2CCOCP(=O)(O)O,0.0,train,../data/images/P-gp/77.png
78.0,CCCCCCCCC/C=C1/CC(CO)(COC(=O)CC(C(C)C)C(C)C)OC1=O,0.0,train,../data/images/P-gp/78.png
79.0,CCCCCCCCCCCCCCCCn1cc[n+](Cc2ccccc2)c1C,1.0,train,../data/images/P-gp/79.png
80.0,C[n+]1c(-c2ccccc2)cc2/c(=C\c3ccccc3)c3ccccc3n21,1.0,train,../data/images/P-gp/80.png
81.0,COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1OC2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O,1.0,train,../data/images/P-gp/81.png
82.0,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,0.0,train,../data/images/P-gp/82.png
83.0,O=C1c2cccc3cccc(c23)C(=O)N1CCCNCCCCNCCCNCCCN1C(=O)c2cccc3cccc(c23)C1=O,1.0,train,../data/images/P-gp/83.png
84.0,CC1CNC(c2ccc(-c3nc(-c4ccc(C5=NC(C)CN5)cc4)nc(N(C)C)n3)cc2)=N1,1.0,train,../data/images/P-gp/84.png
85.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H](OC(=O)CCC(=O)O)C[C@@H]3OC[C@]3(OC(C)=O)[C@@H]2[C@@H](OC(=O)c2ccccc2)[C@]2(O)C[C@@H](OC(=O)[C@@H](OC(=O)CCC(=O)O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1.0,train,../data/images/P-gp/85.png
86.0,C=C1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)/C=C/[C@H](C)C(=O)[C@@]2(OC(C)=O)C[C@H](C)[C@H](OC(C)=O)[C@@H]2[C@H]1OC(=O)c1ccccc1,1.0,train,../data/images/P-gp/86.png
87.0,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,1.0,train,../data/images/P-gp/87.png
88.0,C[C@@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,0.0,train,../data/images/P-gp/88.png
89.0,Cc1ccc(/C=C2\CN(C(=O)c3ccc(OCCN(C)C)cc3)C/C(=C\c3ccc(C)cc3)C2=O)cc1,1.0,train,../data/images/P-gp/89.png
90.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1CC(N)C(O)C(C)O1,1.0,train,../data/images/P-gp/90.png
91.0,O=S(=O)(c1ccc(/N=C2\NC(c3ccc(O)cc3)(c3ccccc3O)c3ccccc32)cc1)c1ccc(/N=C2\NC(c3ccc(O)cc3)(c3ccccc3O)c3ccccc32)cc1,1.0,train,../data/images/P-gp/91.png
92.0,NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O,0.0,train,../data/images/P-gp/92.png
93.0,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.0,train,../data/images/P-gp/93.png
94.0,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,train,../data/images/P-gp/94.png
95.0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@@H](CC[C@@H]6[C@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1.0,train,../data/images/P-gp/95.png
96.0,CN(C)CCNC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1Cl,0.0,train,../data/images/P-gp/96.png
97.0,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CC[C@@H](N)C(F)F)c1ccccc1,1.0,train,../data/images/P-gp/97.png
98.0,CCCCCCCCCCCCCC1=NC(C)(C)CN1C(C)C,0.0,train,../data/images/P-gp/98.png
99.0,CC(C)N(C(=O)C(c1cccnc1)C(CC(=O)NCC1CN(c2ccccc2)CCO1)c1ccccc1)C(C)C,1.0,train,../data/images/P-gp/99.png
100.0,Nc1ccccc1C#C/C=C\C#Cc1c(F)c(F)c(F)c(F)c1F,0.0,train,../data/images/P-gp/100.png
101.0,COCO[C@@H]1CC(=O)OC[C@H](C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H]1Cc1ccccc1,1.0,train,../data/images/P-gp/101.png
102.0,Cc1nc2c(O)c3c(c(O)c2nc1C)C1=C=C=C3CC1,0.0,train,../data/images/P-gp/102.png
103.0,CCOc1cc(C2SCC(=O)N2c2ccc(Oc3ccc(Cl)cc3)c(Cl)c2)ccc1O,0.0,train,../data/images/P-gp/103.png
104.0,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(O)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,1.0,train,../data/images/P-gp/104.png
105.0,C[P+](C)(c1ccccc1)c1ccccc1,1.0,train,../data/images/P-gp/105.png
106.0,CCCCCCCCCCCC1N=C(N)NC(CCCO)=C1C(=O)OC,1.0,train,../data/images/P-gp/106.png
107.0,COc1c(OC(C)=O)c(OC(C)=O)cc2c1-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,1.0,train,../data/images/P-gp/107.png
108.0,COc1ccc(C[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H]3C(=O)N(C)[C@H](Cc4ccc(O)c(c4)Oc4ccc(cc4)[C@@H]3O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N2C)cc1,1.0,train,../data/images/P-gp/108.png
109.0,CCOC(=O)C1=CN(Cc2cccc(OC)c2)c2ccccc2C1c1ccc(OC)cc1,1.0,train,../data/images/P-gp/109.png
110.0,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0.0,train,../data/images/P-gp/110.png
111.0,CCCCCCCCCC(=O)N[C@@H](c1ccco1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C,1.0,train,../data/images/P-gp/111.png
112.0,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,1.0,train,../data/images/P-gp/112.png
113.0,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C,0.0,train,../data/images/P-gp/113.png
114.0,CC[C@]12CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(c4cc5c(cc4OC)N(C)[C@H]4[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]6(CC)C=CCN7CC[C@]54[C@@H]76)C[C@@H](C3)[C@H]1O2,1.0,train,../data/images/P-gp/114.png
115.0,CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,1.0,train,../data/images/P-gp/115.png
116.0,N#Cc1c2c(c(-c3cccs3)n([C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)c1=S)CCc1ccccc1-2,0.0,train,../data/images/P-gp/116.png
117.0,COC(=O)c1cc(-c2c(C(=O)OC)cc(OC)c3c2OCO3)c2c(c1OC)OCO2,0.0,train,../data/images/P-gp/117.png
118.0,CCOC(=O)CCC(NC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)OCC,0.0,train,../data/images/P-gp/118.png
119.0,CN(C)c1ccc2c(-c3ccccc3)c3ccc(=[N+](C)C)cc-3[te]c2c1,1.0,train,../data/images/P-gp/119.png
120.0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](COC(=O)CCCCCCCCC(=O)OC[C@@H]4C=C[C@H](n5cnc6c(NC7CC7)nc(N)nc65)C4)C3)c2n1,1.0,train,../data/images/P-gp/120.png
121.0,C/C1=C\[C@@H]2[C@H](CC[C@]3(CO3)[C@H](OC(=O)c3cccs3)[C@H]3[C@@H](OC(=O)c4cccs4)[C@@H](C)C[C@]3(O)C1=O)C2(C)C,1.0,train,../data/images/P-gp/121.png
122.0,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc4ccccc4c3)C(C)=C1C2(C)C,1.0,train,../data/images/P-gp/122.png
123.0,O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,0.0,train,../data/images/P-gp/123.png
124.0,COC(=O)n1c(=O)nc2c3c(ncn21)Oc1c(c(-c2ccccc2)nn1-c1ccccc1)C3c1ccc(Cl)cc1,0.0,train,../data/images/P-gp/124.png
125.0,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@]1(CCCNCC(F)F)c1ccccc1,1.0,train,../data/images/P-gp/125.png
126.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,1.0,train,../data/images/P-gp/126.png
127.0,COc1ccc(/C=C2\C(=O)N(C3OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C3OC(C)=O)c3ccccc3N=C2N)cc1,0.0,train,../data/images/P-gp/127.png
128.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)CC(OC(=O)[C@H](O)[C@@H](NC(=O)C(C)(O)C(C)O)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,train,../data/images/P-gp/128.png
129.0,C=C[C@]1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0.0,train,../data/images/P-gp/129.png
130.0,c1ccc2c(c1)Nc1ccccc1[P+]21c2ccccc2Nc2ccccc21,1.0,train,../data/images/P-gp/130.png
131.0,NC(=O)NC(=O)c1ccc(NC(=O)CBr)cc1,0.0,train,../data/images/P-gp/131.png
132.0,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,0.0,train,../data/images/P-gp/132.png
133.0,COc1cc2c(cc1C[N+](C)(C)CSc1ccccc1)-c1ccccc1CC2,1.0,train,../data/images/P-gp/133.png
134.0,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,1.0,train,../data/images/P-gp/134.png
135.0,CCCCCCCCCCCC(c1ccccc1)[N+](C)(C)C,1.0,train,../data/images/P-gp/135.png
136.0,CCC(=C(c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,1.0,train,../data/images/P-gp/136.png
137.0,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,1.0,train,../data/images/P-gp/137.png
138.0,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,1.0,train,../data/images/P-gp/138.png
139.0,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]34OC(=O)O[C@H]3[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccco3)C(C)=C1C4(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,1.0,train,../data/images/P-gp/139.png
140.0,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,1.0,train,../data/images/P-gp/140.png
141.0,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@@H](O)C[C@H]3OC[C@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,1.0,train,../data/images/P-gp/141.png
142.0,COC1=C[C@]23CCCN2CCc2cc4c(cc2[C@@H]3[C@@H]1O)OCO4,0.0,train,../data/images/P-gp/142.png
